| № | Дата/время | Температура | Осадки (мм) |
| 1 | 2025-05-11T00:00 | 5.100000 | 0.000000 |
| 2 | 2025-05-11T01:00 | 4.300000 | 0.000000 |
| 3 | 2025-05-11T02:00 | 3.400000 | 0.000000 |
| 4 | 2025-05-11T03:00 | 2.700000 | 0.000000 |
| 5 | 2025-05-11T04:00 | 2.200000 | 0.000000 |
| 6 | 2025-05-11T05:00 | 2.100000 | 0.000000 |
| 7 | 2025-05-11T06:00 | 3.200000 | 0.000000 |
| 8 | 2025-05-11T07:00 | 4.600000 | 0.000000 |
| 9 | 2025-05-11T08:00 | 5.700000 | 0.000000 |
| 10 | 2025-05-11T09:00 | 6.500000 | 0.000000 |
| 11 | 2025-05-11T10:00 | 7.300000 | 0.000000 |
| 12 | 2025-05-11T11:00 | 7.800000 | 0.000000 |
| 13 | 2025-05-11T12:00 | 8.400000 | 0.000000 |
| 14 | 2025-05-11T13:00 | 9.300000 | 0.000000 |
| 15 | 2025-05-11T14:00 | 10.000000 | 0.000000 |
| 16 | 2025-05-11T15:00 | 10.600000 | 0.000000 |
| 17 | 2025-05-11T16:00 | 10.600000 | 0.000000 |
| 18 | 2025-05-11T17:00 | 10.300000 | 0.000000 |
| 19 | 2025-05-11T18:00 | 9.900000 | 0.000000 |
| 20 | 2025-05-11T19:00 | 8.500000 | 0.000000 |
| 21 | 2025-05-11T20:00 | 6.900000 | 0.000000 |
| 22 | 2025-05-11T21:00 | 6.300000 | 0.000000 |
| 23 | 2025-05-11T22:00 | 5.800000 | 0.000000 |
| 24 | 2025-05-11T23:00 | 5.500000 | 0.000000 |
